1, 1, 43, 1536
1, 1, 50, 0
1, 1, 55, 0
1, 1, 41, 9200
1, 1, 53, 16
1, 1, 48, 16
1, 0, 55, 32
1, 0, 50, 0
1, 0, 43, 0
1, 1, 36, 3008
1, 1, 43, 0
1, 1, 48, 16
1, 0, 48, 32
1, 0, 53, 16
1, 0, 41, 0
1, 1, 50, 3008
1, 1, 38, 16
1, 1, 45, 0
1, 0, 43, 48
1, 0, 36, 0
1, 0, 48, 48
1, 1, 43, 2944
1, 1, 55, 32
1, 0, 45, 96
1, 0, 38, 0
1, 1, 41, 2960
1, 1, 53, 16
1, 1, 48, 16
1, 0, 55, 48
1, 0, 43, 32
1, 0, 50, 16
1, 1, 36, 2944
1, 1, 43, 0
1, 1, 48, 16
1, 0, 41, 80
1, 0, 53, 16
1, 0, 48, 48
1, 1, 50, 2912
1, 1, 38, 16
1, 1, 45, 0
1, 0, 48, 64
1, 0, 43, 16
1, 0, 36, 0
1, 0, 45, 3024
1, 0, 38, 0
1, 0, 50, 16
1, 0, 0, 65535
1, 1, 41, 12737
1, 1, 53, 16
1, 1, 48, 16
1, 1, 36, 3040
1, 1, 43, 0
1, 1, 48, 16
1, 0, 48, 32
1, 0, 53, 16
1, 0, 41, 0
1, 1, 50, 3008
1, 1, 38, 16
1, 1, 45, 0
1, 0, 43, 48
1, 0, 36, 0
1, 0, 48, 48
1, 1, 43, 2944
1, 1, 55, 32
1, 0, 45, 96
1, 0, 38, 0
1, 1, 41, 2960
1, 1, 53, 16
1, 1, 48, 16
1, 0, 55, 48
1, 0, 43, 32
1, 0, 50, 16
1, 1, 36, 2944
1, 1, 43, 0
1, 1, 48, 16
1, 0, 41, 80
1, 0, 53, 16
1, 0, 48, 48
1, 1, 50, 2912
1, 1, 38, 16
1, 1, 45, 0
1, 0, 48, 64
1, 0, 43, 16
1, 0, 36, 0
1, 0, 45, 3024
1, 0, 38, 0
1, 0, 50, 16
1, 1, 43, 33728
1, 1, 50, 16
1, 1, 55, 0
1, 1, 38, 4608
1, 1, 43, 16
1, 1, 50, 0
1, 0, 55, 32
1, 0, 43, 16
1, 0, 50, 16
1, 1, 50, 2992
1, 1, 55, 0
1, 1, 43, 16
1, 0, 38, 16
1, 0, 50, 32
1, 0, 43, 32
1, 1, 38, 4512
1, 1, 43, 16
1, 1, 50, 0
1, 0, 55, 32
1, 0, 50, 32
1, 0, 43, 16
1, 0, 38, 3008
1, 0, 50, 32
1, 0, 43, 0
